1.64,0.92,1.17,1.96
1.88,0.92,1.032,1.81
1.88,1.37,1.032,1.81
1.64,1.37,0.745,1.81
1.64,1.72,0.885,1.81
1.88,1.7,0.62,1.33
1.72,0.92,0.665,1.33
1.88,0.92,0.885,1.33
1.64,0.92,0.8,1.33
1.88,1.72,0.9,1.96
1.72,1.39,0.76,1.33
1.64,1.39,0.76,1.33
1.72,1.72,0.8,1.33
1.72,0.77,1.17,2.2
1.72,0.77,0.923,1.81
1.72,0.92,0.885,1.33
1.72,1.7,0.62,2.2
1.88,1.39,0.8,1.81
1.72,1.72,0.938,1.81
1.72,1.28,0.745,2.2
1.72,1.39,0.62,1.33
1.64,0.77,0.9,1.81
1.39,0.92,0.8,1.81
1.72,1.72,0.885,1.33
1.64,1.39,0.8,1.81
1.64,0.77,0.69,1.96
1.88,1.72,0.745,1.96
1.88,1.64,0.9,1.96
1.64,1.39,0.76,1.81
1.64,1.72,0.885,1.96
1.64,1.64,1.13,1.96
1.64,1.72,0.535,1.33
1.39,1.39,0.76,2.2
1.88,1.39,1.13,1.81
1.88,1.72,0.58,1.33
1.64,1.64,1.13,2.2
1.72,0.77,0.89,1.81
1.72,1.28,1.17,1.81
1.88,1.72,0.8,1.96
1.64,0.92,0.76,2.2
1.72,1.72,0.535,1.33
1.39,0.92,1.17,1.81
1.64,1.64,1.13,1.33
1.88,0.92,0.958,1.81
0.92,0.92,0.745,1.33
0.92,0.92,0.9,1.33
1.72,0.77,0.88,1.81
1.88,1.64,0.615,1.33
1.64,1.28,0.745,2.2
1.88,1.64,1.17,2.2
1.64,1.7,0.58,1.33
1.64,1.64,1.17,1.81
1.88,1.72,0.885,1.33
1.88,1.72,1.17,2.2
1.88,1.7,0.58,1.33
1.88,1.72,0.8,1.81
1.64,1.39,0.58,1.96
1.64,0.92,0.535,1.33
1.72,1.28,0.9,1.33
1.88,0.77,0.983,2.2
1.72,1.7,0.665,1.33
1.64,1.39,1.01,1.81
1.64,1.64,0.58,2.2
1.64,1.39,0.745,1.33
1.88,1.7,0.58,2.2
1.72,1.28,0.745,1.81
1.88,1.7,0.76,1.81
1.88,1.64,0.958,1.81
0.92,0.92,0.58,1.33
1.64,1.39,1.17,1.96
1.72,1.28,0.923,1.81
1.64,0.92,1.032,1.81
1.72,1.39,0.76,2.2
1.64,1.72,0.8,1.81
1.39,1.28,0.861,1.81
1.88,1.37,0.535,1.81
1.72,1.28,0.58,1.33
1.72,0.92,0.76,1.96
1.64,1.64,1.01,1.81
1.64,1.72,0.8,1.96
1.64,1.72,0.745,1.33
1.88,0.77,0.912,1.81
1.72,0.92,0.745,1.81
1.88,1.39,0.745,1.96
