High,Low
0.91597787,0.913587107
0.920425011,0.833195174
0.916079988,0.874644089
0.910345359,0.85955865
0.898093196,0.889307039
0.858836815,0.848818234
0.908520249,0.881625159
0.905645927,0.797289667
0.897221188,0.818573271
0.908894682,0.896472322
0.908622367,0.789968203
0.935680647,0.896117912
0.903105991,0.855697186
0.932813332,0.915997894
0.893605007,0.889573347
0.918490775,0.823013403
0.892883173,0.867677035
0.911523721,0.818933687
0.90192062,0.795409493
0.920806452,0.799284973
0.914384028,0.831465174
0.875270813,0.867220507
0.923707806,0.866246381
0.927392065,0.877164002
0.898331471,0.8852073
0.89090789,0.876925726
0.891670771,0.899741101
0.837588252,0.843615219
0.898542715,0.834979236
0.928325144,0.845957927
0.927535231,0.902853699
0.928223026,0.794067943
0.875618215,0.770224379
0.892569811,0.898011101
0.875304852,0.822522836
0.923047042,0.88424719
0.904474573,0.798113619
0.887918434,0.849935525
0.82440301,0.795552659
0.918838177,0.710584436
0.91706713,0.88654885
0.921017696,0.889252976
0.929163113,0.914826539
0.875822451,0.829020348
0.901743415,0.903752738
0.923673767,0.855519981
0.909650556,0.874658105
0.901191778,0.765872348
0.898433589,0.788259228
0.90547573,0.871266184
0.931056301,0.815623861
0.907546123,0.796724013
0.908370076,0.878308324
0.830600174,0.881618151
0.919975492,0.88421315
0.901300904,0.874610049
0.923462523,0.852183124
0.914084682,0.874998498
0.90803669,0.858462383
0.913076516,0.768746671
0.924293483,0.671981811
0.932609096,0.88735278
0.915691539,0.904052084
0.915173941,0.894613173
0.911618831,0.857427186
0.9032011,0.765293679
0.894442976,0.853490635
0.883321119,0.88197256
0.889252976,0.772499009
0.826255151,0.860416642
0.884485465,0.88296671
0.920356933,0.81863334
0.883075836,0.864591468
0.913968548,0.879997277
0.866668869,0.865708759
0.899400707,0.734277825
0.928604467,0.714112514
0.886971339,0.906129486
0.915153918,0.795668793
0.923217239,0.775658661
0.925124444,0.611735166
0.874276664,0.799019667
0.900783306,0.875331884
0.916454421,0.850786509
0.90141003,0.732520794
0.913655185,0.877688608
0.909745666,0.748499265
0.929333309,0.816352704
0.903677651,0.865885964
0.923530601,0.76986997
0.904338415,0.797746195
0.902104833,0.823346789
0.930368506,0.89228348
0.926363877,0.870898759
0.938302678,0.868466948
0.918143374,0.894190684
0.89795003,0.902404179
0.896499353,0.903609573
0.925703113,0.902744573
0.906797258,0.895906668
